Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2385 Green Lake Rd NE,4 Beds,2 Baths,"1,945 sqft",Year Built: 1984,2 Car Garage,"$350,000",Albuquerque
224 Shawnee Ct SE,3 Beds,3 Baths,"1,650 sqft",,1 Car Garage,"$214,900",Albuquerque
9728 Westbound Ave SW,3 Beds,2 Baths,"1,122 sqft",Year Built: 1982,1 Car Garage,"$185,000",Albuquerque
8419 Estates Dr NE,3 Beds,2 Baths,"2,366 sqft",Year Built: 2001,2 Car Garage,"$625,000",Albuquerque
8201 Tangerine Pl NW,3 Beds,2 Baths,"1,068 sqft",Year Built: 2002,2 Car Garage,"$265,000",Albuquerque
11524 Love Ave NE,3 Beds,1 Bath,"1,038 sqft",,Garage,"$250,000",Albuquerque
307 64th St NW,3 Beds,2 Baths,"1,012 sqft",Year Built: 1950,No Info,"$232,000",Albuquerque
2926 Estrella Brillante St NW,2 Beds,3 Baths,"1,560 sqft",Year Built: 1985,1 Car Garage,"$239,900",Albuquerque
566 Apache Loop SW,3 Beds,2 Baths,"1,039 sqft",Year Built: 1986,1 Car Garage,"$200,000",Albuquerque
7920 Mataro Rd   NW,3 Beds,3 Baths,"2,017 sqft",Year Built: 2022,3 Car Garage,"$515,000",Albuquerque
1342 Girard Blvd NE,3 Beds,2 Baths,"1,365 sqft",Year Built: 1950,No Info,"$350,000",Albuquerque
100 Gold Ave  SW #305,3 Beds,2 Baths,"1,530 sqft",Year Built: 2006,1 Car Garage,"$400,000",Albuquerque
407 15th St NW,2 Beds,2 Baths,"1,289 sqft",Year Built: 1988,1 Carport Spaces,"$349,000",Albuquerque
8615 El Monte Ln NE,3 Beds,3 Baths,"1,507 sqft",Year Built: 1998,2 Car Garage,"$290,000",Albuquerque
1113 Sugar Ridge Ct SE,4 Beds,3 Baths,"2,936 sqft (on 0.38 acres)",Year Built: 2003,2 Car Garage,"$415,000",Albuquerque
1029 Maxine St NE,3 Beds,1 Bath,"1,291 sqft",Year Built: 1957,1 Car Garage,"$254,900",Albuquerque
4841 Galleta Rd NW,3 Beds,2 Baths,"1,450 sqft",Year Built: 1991,2 Car Garage,"$309,000",Albuquerque
7316 Autumn Sky Rd SW,3 Beds,2 Baths,"1,187 sqft",Year Built: 1999,Garage,"$249,900",Albuquerque
9712 Travina Ct SW,4 Beds,2 Baths,"1,467 sqft",Year Built: 2006,2 Car Garage,"$249,900",Albuquerque
10905 Malaguena Ln NE,3 Beds,3 Baths,"2,100 sqft",Year Built: 1986,2 Car Garage,"$425,000",Albuquerque
6204 Little Joe Pl NW,4 Beds,3 Baths,"2,684 sqft",Year Built: 2000,2 Car Garage,"$525,000",Albuquerque
837 Stagecoach Rd SE,3 Beds,2 Baths,"1,471 sqft",Year Built: 1984,2 Car Garage,"$325,000",Albuquerque
11904 Bear Valley Ln NW,4 Beds,4 Baths,"2,715 sqft",Year Built: 2021,2 Car Garage,"$640,000",Albuquerque
6800 Ladrillo Pl NE,4 Beds,3 Baths,"2,464 sqft",Year Built: 1999,Garage,"$439,900",Albuquerque
5316 Calle Giralda NW,3 Beds,2 Baths,"2,369 sqft",Year Built: 2016,3 Car Garage,"$544,000",Albuquerque
11812 Persimmon Ave NE,5 Beds,4 Baths,"4,122 sqft (on 0.29 acres)",Year Built: 1988,3 Car Garage,"$845,000",Albuquerque
210 Monroe St NE,2 Beds,1 Bath,850 sqft,Year Built: 1952,Garage,"$310,000",Albuquerque
1024 Pawnee St NE,2 Beds,2 Baths,"1,267 sqft",Year Built: 1979,2 Car Garage,"$245,000",Albuquerque
1308 Wagon Train Dr SE,4 Beds,3 Baths,"3,464 sqft (on 0.53 acres)",Year Built: 1973,2 Car Garage,"$719,900",Albuquerque
1640 Terra De Sol Dr SE,3 Beds,2 Baths,"1,456 sqft",Year Built: 2005,2 Car Garage,"$319,900",Albuquerque
4225 Packaway Rd NW,4 Beds,3 Baths,"2,936 sqft",Year Built: 2002,2 Car Garage,"$499,000",Albuquerque
6769 Guadalupe Trl NW,5 Beds,4 Baths,"3,826 sqft (on 1.63 acres)",Year Built: 1979,3 Car Garage,"$1,195,000",Albuquerque
4571 Villa Loma Ln NE,2 Beds,3 Baths,"1,316 sqft",,1 Car Garage,"$333,500",Albuquerque
1335 Ojo Feliz St SW,3 Beds,3 Baths,"1,807 sqft",Year Built: 2001,2 Car Garage,"$275,000",Albuquerque
509 La Bajada Ct   NW,,,,,No Info,"$119,900",Albuquerque
6028 Kilmer Ave NW,3 Beds,2 Baths,"1,085 sqft",Year Built: 1980,Garage,"$234,900",Albuquerque
1809 Wildwood Ln SW,4 Beds,2 Baths,"2,557 sqft (on 0.29 acres)",Year Built: 1956,2 Car Garage,"$400,000",Albuquerque
2213 Dora Ave NW,3 Beds,2 Baths,"1,677 sqft",Year Built: 1954,Garage,"$425,000",Albuquerque
