Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2145 Wickes Rd,4 Beds,4 Baths,"2,855 sqft",Year Built: 1991,2 Car Garage,"$595,000",Colorado Springs
6598 Fielding Ter,5 Beds,4 Baths,"2,843 sqft",Year Built: 2004,2 Car Garage,"$499,900",Colorado Springs
1057 Acapulco Ct,2 Beds,1 Bath,858 sqft,Year Built: 1983,Garage,"$245,000",Colorado Springs
4991 Copen Dr,3 Beds,2 Baths,"1,832 sqft",Year Built: 1997,2 Car Garage,"$430,000",Colorado Springs
7161 Snowbell Ln,3 Beds,3 Baths,"4,346 sqft",Year Built: 2017,2 Car Garage,"$629,900",Colorado Springs
4955 Old Stagecoach Rd,,,,,No Info,"$825,000",Colorado Springs
6945 Native Cir,6 Beds,4 Baths,"3,150 sqft",Year Built: 1988,2 Car Garage,"$649,500",Colorado Springs
21 Broadmoor Hills Dr,5 Beds,4 Baths,"5,174 sqft (on 0.47 acres)",Year Built: 1987,3 Car Garage,"$900,000",Colorado Springs
1212 Samuel Point,3 Beds,2 Baths,"1,211 sqft",Year Built: 1995,2 Car Garage,"$340,000",Colorado Springs
2080 Seven Arrow Dr,4 Beds,3 Baths,"2,902 sqft",Year Built: 1986,2 Car Garage,"$465,000",Colorado Springs
4379 Pioneer Creek Dr,3 Beds,2 Baths,"1,352 sqft",Year Built: 2003,2 Car Garage,"$425,000",Colorado Springs
127 W  Woodmen Rd,5 Beds,4 Baths,"3,556 sqft (on 0.90 acres)",Year Built: 1978,3 Car Garage,"$859,000",Colorado Springs
18795 Brown Road  Lot 3,,,,,No Info,"$499,000",Colorado Springs
6890 Snead St,5 Beds,3 Baths,"2,355 sqft",Year Built: 1972,1 Car Garage,"$440,000",Colorado Springs
3447 Colony Hills Rd,4 Beds,2 Baths,"1,632 sqft",Year Built: 1971,1 Car Garage,"$385,000",Colorado Springs
8782 Sanctuary Pine Dr,5 Beds,5 Baths,"5,578 sqft (on 5.02 acres)",Year Built: 2021,17 Car Garage,"$1,995,000",Colorado Springs
6385 Perfect Vw,2 Beds,2 Baths,"1,223 sqft",Year Built: 1996,2 Car Garage,"$450,000",Colorado Springs
6539 Courtland Pl,4 Beds,3 Baths,"3,748 sqft",Year Built: 2020,2 Car Garage,"$739,000",Colorado Springs
5030 El Camino Dr #12,2 Beds,1 Bath,768 sqft,Year Built: 1973,Garage,"$219,950",Colorado Springs
5750 Corinth Dr,4 Beds,3 Baths,"2,150 sqft",Year Built: 1997,2 Car Garage,"$495,000",Colorado Springs
16390 Cherry Crossing Drive,,,,,No Info,"$270,000",Colorado Springs
5250 Quill Dr,4 Beds,2 Baths,"1,889 sqft",Year Built: 1992,2 Car Garage,"$459,900",Colorado Springs
7329 Running Deer Way,3 Beds,3 Baths,"1,676 sqft",Year Built: 2011,2 Car Garage,"$450,000",Colorado Springs
18763 Brown Road  Lot 2,,,,,No Info,"$525,000",Colorado Springs
9 Leaming Rd,,,,,No Info,"$400,000",Colorado Springs
9625 Blue Bonnet Ct,6 Beds,6 Baths,"5,969 sqft (on 0.37 acres)",Year Built: 2004,4 Car Garage,"$1,150,000",Colorado Springs
6743 Cabin Creek Drive,5 Beds,4 Baths,"3,872 sqft",Year Built: 2001,2 Car Garage,"$635,000",Colorado Springs
3950 Hamlet Rd,4 Beds,2 Baths,"1,597 sqft",Year Built: 1970,1 Car Garage,"$375,000",Colorado Springs
6020 Fescue Dr,3 Beds,3 Baths,"2,025 sqft",Year Built: 1997,2 Car Garage,"$445,000",Colorado Springs
8280 Horn Run Rd,4 Beds,4 Baths,"2,802 sqft",Year Built: 1996,2 Car Garage,"$490,000",Colorado Springs
7477 Legend Hill Dr,4 Beds,3 Baths,"2,610 sqft",Year Built: 2006,2 Car Garage,"$550,000",Colorado Springs
9568 Feathergrass Dr,4 Beds,3 Baths,"3,035 sqft",Year Built: 2023,2 Car Garage,"$644,702",Colorado Springs
5684 Flicka Dr,3 Beds,4 Baths,"3,056 sqft",Year Built: 2007,3 Car Garage,"$605,000",Colorado Springs
7323 Hunter Jumper Dr,3 Beds,3 Baths,"1,839 sqft",Year Built: 2021,2 Car Garage,"$475,000",Colorado Springs
