Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
2926 Forest Manor Ave,3,1,864,1911,yes,85000,Indianapolis,98.38
8820 Yardley Ct #208,2,2,1070,1993,no,159900,Indianapolis,149.44
2169 Kildare Ave,2,1,1544,1940,yes,152000,Indianapolis,98.45
4741 Bridgefield Dr,2,2,1312,1998,yes,180000,Indianapolis,137.2
Grandover Plan in Edgewood Farms by D.R. Horton - Indianapolis,3,3,2141,2023,no,400000,Indianapolis,186.83
1645 Cruft St,2,1,768,1955,yes,119000,Indianapolis,154.95
7777 Holliday Dr W,5,5,5024,1953,yes,1250000,Indianapolis,248.81
737 Wallace Ave,3,2,2376,1930,yes,224900,Indianapolis,94.65
863 Indigo Way  #A,3,2,1745,1979,no,160000,Indianapolis,91.69
2804 N  Rouark Cir,3,2,2025,1973,yes,164000,Indianapolis,80.99
3535 Woodale Rd,3,2,1584,1965,yes,245000,Indianapolis,154.67
8815 Ellington Dr,4,3,3072,1969,yes,295000,Indianapolis,96.03
8025 Stafford Ct,4,3,2383,1969,yes,349900,Indianapolis,146.83
8504 Ironcrest Dr,4,4,4912,2022,yes,725000,Indianapolis,147.6
Harmony Plan in Fields at New Bethel by D.R. Horton - Indianapolis,3,2,1498,2023,no,315000,Indianapolis,210.28
McKinley Plan in Trotters Landing by D.R. Horton - Indianapolis,4,3,2430,2023,no,444900,Indianapolis,183.09
420 E  Ohio St   #C,1,1,892,2002,yes,248900,Indianapolis,279.04
5626 Boy Scout Rd,4,3,3448,1970,yes,325000,Indianapolis,94.26
2861 Mozart Way,3,3,1520,2006,yes,230000,Indianapolis,151.32
6655 Kinnerton Dr,3,3,1646,1997,yes,249900,Indianapolis,151.82
R1900 Plan in The Overlook at Central State by M/I Homes,3,3,1912,2023,no,315990,Indianapolis,165.27
1210 N  Tremont St,2,1,1850,1961,yes,80000,Indianapolis,43.24
3027 Guilford Ave,3,3,1588,1920,no,239900,Indianapolis,151.07
8053 Pavilion Ct,4,3,1995,2014,yes,300000,Indianapolis,150.38
1218 Bacon St,2,1,1418,1900,yes,149900,Indianapolis,105.71
5131 Gray Wood Ct,3,3,1908,2012,yes,205000,Indianapolis,107.44
6048 Powell Dr,3,2,1226,1973,yes,229900,Indianapolis,187.52
5560 N  Pennsylvania St,4,5,4664,1936,yes,920000,Indianapolis,197.26
3640 N  Butler Ave,4,2,1314,1967,yes,195000,Indianapolis,148.4
Campton Plan in Edgewood Farms by D.R. Horton - Indianapolis,5,3,3032,2023,no,450000,Indianapolis,148.42
8114 Parcrest Ct,4,3,4135,2008,yes,440000,Indianapolis,106.41
5125 Riverview Dr,5,3,3140,1950,yes,415000,Indianapolis,132.17
10426 Northern Dancer Dr,3,3,1960,2003,yes,295000,Indianapolis,150.51
263 Parkview Ave,3,3,2500,1920,no,295000,Indianapolis,118.0
1126 N  Rochester Ave,2,1,1248,1948,no,119900,Indianapolis,96.07
341 S  Oakland Ave,2,1,720,1950,yes,115000,Indianapolis,159.72
5786 N  Delaware St,4,2,3618,1928,yes,525000,Indianapolis,145.11
3932 Gray Pond Ct,2,2,1180,2003,yes,214900,Indianapolis,182.12
2246 N  Centennial St,2,1,725,1949,no,115000,Indianapolis,158.62
3354 Hovey St,3,2,1542,1925,no,104900,Indianapolis,68.03
5931 Gateway Dr,4,1,1075,1965,yes,135000,Indianapolis,125.58
8298 N  Payne Rd,4,2,1628,1963,yes,249999,Indianapolis,153.56
5830 Norcroft Dr,3,2,2592,1956,yes,249000,Indianapolis,96.06
353 N  Arsenal Ave,3,4,2496,2019,yes,579000,Indianapolis,231.97
1716 N  Arsenal Ave,3,3,1697,1955,no,449000,Indianapolis,264.58
10125 Butternut Ln,5,4,2987,2023,yes,459000,Indianapolis,153.67
543 N  Temple Ave,3,2,2220,1955,yes,279000,Indianapolis,125.68
6172 Norwaldo Ave,2,1,1806,1928,yes,295000,Indianapolis,163.34
Exclusives 2976 Plan in Parks at Glen Ridge by Pyatt Builders,4,3,2976,2023,yes,412000,Indianapolis,138.44
242 N  Beville Ave,4,2,3012,1900,no,189400,Indianapolis,62.88
1229 N  Beville Ave,2,1,913,1910,yes,205000,Indianapolis,224.53
5517 Foxtail Ct,3,2,1642,1993,yes,254900,Indianapolis,155.24
707 N  Dequincy St,3,2,2172,1923,yes,200000,Indianapolis,92.08
4510 Fairhope Dr,3,3,2401,1994,yes,439000,Indianapolis,182.84
1531 Cruft St,4,2,1228,1910,no,99000,Indianapolis,80.62
9004 W  County Line Rd,3,3,2477,2023,yes,399000,Indianapolis,161.08
3455 Kansas St,2,1,828,1951,yes,115000,Indianapolis,138.89
247 Church St,3,1,2408,1937,yes,215000,Indianapolis,89.29
8955 Pleasant Garden Ln,4,3,3225,2023,yes,429000,Indianapolis,133.02
1717 S  Lynhurst Dr,2,2,1888,1949,no,174900,Indianapolis,92.64
7244 Birch Leaf Dr,4,4,4540,2019,yes,599900,Indianapolis,132.14
12162 Pearl Bay Rdg,6,6,7127,1991,yes,1790000,Indianapolis,251.16
1909 S  Delaware St,3,1,2240,1910,no,75000,Indianapolis,33.48
8181 Lincoln Blvd,4,3,4952,1964,yes,689000,Indianapolis,139.14
1474 N  Leland Ave,3,3,2212,1949,yes,209900,Indianapolis,94.89
6024 N  Meridian St,3,2,2474,1949,yes,340000,Indianapolis,137.43
912 Woodlawn Ave,3,4,2886,2018,yes,549900,Indianapolis,190.54
6120 Easy Ln,3,3,3027,2004,yes,425000,Indianapolis,140.4
1614 E  Ohio St,4,4,2570,2023,yes,699999,Indianapolis,272.37
7442 Quincy Ct,2,2,1418,1986,yes,235000,Indianapolis,165.73
3125 Clearview Dr,3,2,1494,1959,yes,325000,Indianapolis,217.54
7305 Sayers Rd,5,4,3054,2023,yes,409995,Indianapolis,134.25
7249 Sayers Rd,5,3,2736,2023,yes,399000,Indianapolis,145.83
1003 Holmdale Dr,5,3,2460,2023,yes,339995,Indianapolis,138.21
Holcombe Plan in Fields at New Bethel by D.R. Horton - Indianapolis,4,3,2356,2023,no,355000,Indianapolis,150.68
410 Iowa St,2,2,900,1912,no,190000,Indianapolis,211.11
438 N  Emerson Ave,4,2,3088,1925,yes,237000,Indianapolis,76.75
920 Broadway St   #C,2,2,1012,1920,yes,249900,Indianapolis,246.94
8455 Sand Point Way,2,3,2748,1983,yes,370000,Indianapolis,134.64
2204 Ruth Dr,3,1,875,1953,yes,229000,Indianapolis,261.71
Cooper Plan in Trails at Grassy Creek by Arbor Homes,4,3,2801,2023,no,315995,Indianapolis,112.82
1901 Orange St,2,2,1772,1920,yes,280000,Indianapolis,158.01
5422 Guilford Ave,4,4,3690,2015,yes,799900,Indianapolis,216.78
