Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
5170 Salter Ct,,,,Year Built: 1993,3 Car Garage,"$939,900",Indianapolis
55 W  Dudley Ave,,,,Year Built: 1955,2 Car Garage,"$260,000",Indianapolis
350 N  Meridian St #401,,,,Year Built: 1924,Garage,"$475,000",Indianapolis
10844 Penwell Way,,,,Year Built: 2023,2 Car Garage,"$268,900",Indianapolis
Richland Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indianapolis,,,,Year Built: 2023,No Info,"$294,900+",Indianapolis
6630 E  Southport Rd,,,,Year Built: 1984,2 Car Garage,"$535,000",Indianapolis
,,,,,,,Indianapolis
1448 Saulcy St,,,,Year Built: 1900,Garage,"$159,900",Indianapolis
9121 Fordham St,,,,Year Built: 1974,2 Car Garage,"$250,000",Indianapolis
,,,,,,,Indianapolis
2460 Guilford Ave,,,,Year Built: 1906,Open Parking,"$200,000",Indianapolis
741 Carlyle Pl,,,,Year Built: 1920,None,"$111,000",Indianapolis
922 Hoover Village Dr   #D,,,,Year Built: 1973,No Info,"$125,000",Indianapolis
9137 Crocus Ct,,,,Year Built: 2004,2 Car Garage,"$285,000",Indianapolis
,,,,,,,Indianapolis
8624 Bay Pointe Cir,,,,Year Built: 1993,2 Car Garage,"$470,000",Indianapolis
7138 Coffman Rd,,,,Year Built: 1945,Garage,"$350,000",Indianapolis
Dimora Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$296,990+",Indianapolis
Ainsley II Slab Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$448,990+",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
Berkeley Basement Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$509,990+",Indianapolis
Cheswicke II Slab Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$362,990+",Indianapolis
Castello Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$285,990+",Indianapolis
Glendale Slab Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$430,990+",Indianapolis
Drake Slab Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$422,990+",Indianapolis
Hinkle Slab Plan in Belmont by M/I Homes,,,,Year Built: 2023,No Info,"$296,990+",Indianapolis
Bella Vista Plan in Sagebrook West by M/I Homes,,,,Year Built: 2023,No Info,"$280,990+",Indianapolis
Attucks Slab Plan in Belmont by M/I Homes,,,,Year Built: 2023,No Info,"$341,990+",Indianapolis
Muncie Slab Plan in Belmont by M/I Homes,,,,Year Built: 2023,No Info,"$351,990+",Indianapolis
