Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
167 Mifflin St,2 Beds,2 Baths,"1,158 sqft",Year Built: 1905,Open Parking,"$340,000",Philadelphia
837 Clyde Ln,3 Beds,2 Baths,"1,562 sqft",Year Built: 1974,3 Open Spaces,"$400,000",Philadelphia
1918 E  Somerset St,3 Beds,1 Bath,984 sqft,Year Built: 1910,Open Parking,"$209,000",Philadelphia
1700 Johnston St,3 Beds,2 Baths,"1,200 sqft",Year Built: 1920,Open Parking,"$285,000",Philadelphia
1937 E  Letterly St,2 Beds,2 Baths,"1,276 sqft",Year Built: 1875Year Renovated: 2022,Open Parking,"$354,999",Philadelphia
1825 E  Albert St,3 Beds,1 Bath,836 sqft,Year Built: 1953,Open Parking,"$209,000",Philadelphia
4223 Ormond St,3 Beds,1 Bath,"1,200 sqft",Year Built: 1950,Open Parking,"$155,000",Philadelphia
2312 S  Hutchinson St,3 Beds,2 Baths,"1,244 sqft",Year Built: 1920,Open Parking,"$319,000",Philadelphia
5404 N  4th St,3 Beds,1 Bath,"1,376 sqft",Year Built: 1900,Open Parking,"$229,000",Philadelphia
3278 Tilton St,2 Beds,2 Baths,988 sqft,Year Built: 1910,Open Parking,"$215,000",Philadelphia
1921 S  Croskey St,2 Beds,,"1,020 sqft",Year Built: 1920,Open Parking,"$175,000",Philadelphia
6623 Kindred St,4 Beds,2 Baths,"1,260 sqft",Year Built: 1950,1 Car Garage,"$259,999",Philadelphia
261 W  Harvey St,6 Beds,3 Baths,"2,952 sqft",Year Built: 1900,Open Parking,"$470,000",Philadelphia
4558 Marple St,3 Beds,1 Bath,"1,024 sqft",Year Built: 1950,1 Car Garage,"$220,000",Philadelphia
8022 Jackson St,4 Beds,2 Baths,"2,400 sqft",Year Built: 1930,Open Parking,"$229,999",Philadelphia
148 W  Durham St,3 Beds,1 Bath,"1,198 sqft",Year Built: 1925,Open Parking,"$339,000",Philadelphia
255 E  Montana St,3 Beds,2 Baths,"1,242 sqft",Year Built: 2007,None,"$180,000",Philadelphia
4025 Fairmount Ave,3 Beds,4 Baths,"3,105 sqft",Year Built: 2021,None,"$499,900",Philadelphia
1324 E  Hunting Park Ave,4 Beds,3 Baths,"1,782 sqft",Year Built: 1961Year Renovated: 2022,1 Open Spaces,"$204,999",Philadelphia
Liberty Plaza View Plan in North Liberty Triangle by Streamline,2 Beds,2 Baths,"1,024 sqft",Year Built: 2023,No Info,"$430,000+",Philadelphia
1629 S  2nd St,3 Beds,2 Baths,"1,635 sqft",Year Built: 1915,Open Parking,"$410,000",Philadelphia
750 S  9th St,4 Beds,3 Baths,"2,700 sqft",Year Built: 1920,Open Parking,"$899,999",Philadelphia
5412 Pearl St,3 Beds,1 Bath,"1,080 sqft",Year Built: 1920,Open Parking,"$120,000",Philadelphia
