Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
5418 Harvest Run Dr,6 Beds,6 Baths,"4,687 sqft",Year Built: 2001,3 Car Garage,"$3,295,000",San Diego
4368 42nd St #3,2 Beds,2 Baths,947 sqft,Year Built: 1984,Garage,"$629,000",San Diego
6415 Benson Ave,5 Beds,3 Baths,"1,789 sqft (on 19,467 acres)",Year Built: 1987,2 Car Garage,"$699,000",San Diego
16326 Avenida Venusto #B,3 Beds,3 Baths,"1,632 sqft (on 8.45 acres)",Year Built: 1990,2 Car Garage,"$799,000",San Diego
3820-3820 Quarter Mile Dr,3 Beds,3 Baths,"1,947 sqft",Year Built: 2004,2 Car Garage,"$1,539,000",San Diego
700 W  East St #1901,3 Beds,2 Baths,"1,315 sqft",Year Built: 2007,Garage,"$1,240,000",San Diego
50 Montego Ct,3 Beds,3 Baths,"1,492 sqft",Year Built: 1982,Garage,"$1,490,000",San Diego
6296 Lisieux Ter,3 Beds,2 Baths,"1,762 sqft",Year Built: 1976,Garage,"$1,395,000",San Diego
1328 S  58th St,4 Beds,2 Baths,"2,178 sqft",Year Built: 1963,Garage,"$859,000",San Diego
8121 Brennan St,3 Beds,2 Baths,"1,250 sqft (on 0.40 acres)",Year Built: 1957,2 Car Garage,,San Diego
617 Westbourne St,3 Beds,2 Baths,"1,718 sqft",Year Built: 1980,Garage,"$1,495,000",San Diego
700 W  Harbor Dr   W  #2902,2 Beds,2 Baths,"2,047 sqft",Year Built: 2004,2 Car Garage,"$2,999,900",San Diego
725-727 San Fernando Pl,6 Beds,6 Baths,"2,870 sqft",Year Built: 1991,4 Car Garage,"$3,750,000",San Diego
1750 Avenida Del Mundo #1108,2 Beds,2 Baths,"1,400 sqft",Year Built: 1978,Garage,"$2,849,000",San Diego
7980 Mission Center Ct #F,2 Beds,1 Bath,726 sqft,Year Built: 1981,Garage,"$449,000",San Diego
8334 Glen Vista Ct,4 Beds,2 Baths,"1,986 sqft",Year Built: 1975,2 Car Garage,"$749,995",San Diego
721-723 San Fernando Pl,6 Beds,6 Baths,"2,870 sqft",Year Built: 1991,4 Car Garage,"$3,750,000",San Diego
1307 Caminito Gabaldon #E,1 Bed,1 Bath,726 sqft,Year Built: 1975,Garage,"$399,900",San Diego
3050 Rue D Orleans #321,1 Bed,1 Bath,547 sqft,Year Built: 1969,Garage,"$485,000",San Diego
3340 Del Sol Blvd #12,2 Beds,2 Baths,"1,344 sqft",Year Built: 1978,Garage,"$247,000",San Diego
13522 Calais Dr,4 Beds,2 Baths,"1,665 sqft",Year Built: 1970,3 Car Garage,"$2,050,000",San Diego
5159 Marlborough Dr,2 Beds,2 Baths,"2,124 sqft",Year Built: 1926,Garage,"$2,150,000",San Diego
211 Almazon St   #211,,,,,No Info,"$399,000",San Diego
3907 Georgia St #26,1 Bed,1 Bath,657 sqft,Year Built: 1997,Garage,"$458,900",San Diego
3749 Kingsley St,3 Beds,1 Bath,"1,087 sqft",Year Built: 1951,1 Car Garage,"$1,099,000",San Diego
1806 McKee St #A3,2 Beds,3 Baths,"1,430 sqft",Year Built: 1982,Garage,"$749,000",San Diego
3851 Curtis St,4 Beds,2 Baths,"1,640 sqft",Year Built: 1965,2 Car Garage,"$1,295,000",San Diego
